tournament_id,name,date,n_rounds,n_players,country,fide_rated,system,time_control,avg_rating,pct_rated,url
1310916,III TORNEO INTERNACIONAL VEGA DE SAN MATEO,06.12.2025,9,77,ESP,True,Swiss,,1971.9,0.948,https://s1.chess-results.com/tnr1310916.aspx?lan=1
1319828,5. Lípácký rapid U Vacků - Silvestrovský turnaj,31.12.2025,9,45,CZE,True,Swiss,Rapid,1893.4,0.956,https://s1.chess-results.com/tnr1319828.aspx?lan=1
1325893,The 17th Cultural and Sports Olympiad for Iranian,30.12.2025,7,51,IRI,True,Swiss,Rapid,1845.4,0.804,https://s1.chess-results.com/tnr1325893.aspx?lan=1
1321995,IRT Torneo de Ajedrez Rapido Feria de Cali 2025,28.12.2025,7,122,COL,True,Swiss,Rapid,1818.2,0.852,https://s1.chess-results.com/tnr1321995.aspx?lan=1
1325119,Rapid Moscow. December 2025 - 3,28.12.2025,7,66,RUS,True,Swiss,Rapid,1857.4,0.939,https://s1.chess-results.com/tnr1325119.aspx?lan=1
1277321,"Rapid turnir ""Dan Sandžaka 2025"",  nedelja, 28. de",28.12.2025,9,66,SRB,True,Swiss,Rapid,2083.9,0.97,https://s1.chess-results.com/tnr1277321.aspx?lan=1
1322314,Tradicionalni Novogodišnji turnir Od kina do benzi,28.12.2025,9,41,BIH,True,Swiss,,1893.7,0.927,https://s1.chess-results.com/tnr1322314.aspx?lan=1
1321838,Turneu i III-të i Shahut “Tearca 2025”,28.12.2025,9,79,MKD,True,Swiss,,1806.0,0.835,https://s1.chess-results.com/tnr1321838.aspx?lan=1
1308177,VII Open Internacional Ciutat de Vilanova -  45471,28.12.2025,8,67,ESP,True,Swiss,,1852.2,0.985,https://s1.chess-results.com/tnr1308177.aspx?lan=1
1307620,ZAVRŠNI TURNIR ŠAHOVSKE SEKCIJE SABA RH 2025.,28.12.2025,7,45,CRO,True,Swiss,,1842.8,0.956,https://s1.chess-results.com/tnr1307620.aspx?lan=1
1323866,"MEMORIJALNI TURNIR ""VLADIMIR MIHIC ZMAJEVO 2025""",27.12.2025,9,44,SRB,True,Swiss,,1963.3,1.0,https://s1.chess-results.com/tnr1323866.aspx?lan=1
1320076,Bye Bye 2025 #XADREZNOBURGUES 54ª Edição Torneio X,27.12.2025,7,31,BRA,True,Swiss,,1946.1,0.935,https://s1.chess-results.com/tnr1320076.aspx?lan=1
1324037,Мемориал В.В. Осноса-2025,27.12.2025,11,58,RUS,True,Swiss,,1834.8,1.0,https://s1.chess-results.com/tnr1324037.aspx?lan=1
1319475,"17th Grand Prix 2025 'Before the New Year', by SOX",26.12.2025,6,32,GRE,True,Swiss,Rapid,1818.5,0.969,https://s1.chess-results.com/tnr1319475.aspx?lan=1
1313075,FIDE Women’s World Rapid Championship 2025,26.12.2025,11,141,IM,True,Swiss,Rapid,2196.7,1.0,https://s1.chess-results.com/tnr1313075.aspx?lan=1
1316189,Prvenstvo grada Čačka 2025,26.12.2025,9,39,SRB,True,Swiss,,1898.9,0.821,https://s1.chess-results.com/tnr1316189.aspx?lan=1
1303926,Суперкубок ЦАО-2025 по быстрым шахматам,25.12.2025,7,34,RUS,True,Swiss,,1813.6,1.0,https://s1.chess-results.com/tnr1303926.aspx?lan=1
1322555,Ya. D. Zinder Memorial 2025_rapid,24.12.2025,9,53,RUS,True,Swiss,Rapid,1862.6,1.0,https://s1.chess-results.com/tnr1322555.aspx?lan=1
1306028,Championship UKR Men`s 2025 - Rapid,23.12.2025,9,150,UKR,True,Swiss,Rapid,2011.0,1.0,https://s1.chess-results.com/tnr1306028.aspx?lan=1
1322287,Championship UKR Women 2025 - Rapid,23.12.2025,9,39,UKR,True,Swiss,Rapid,1856.8,1.0,https://s1.chess-results.com/tnr1322287.aspx?lan=1
1301587,"▄▀ ТРОФЕЈ СМЕДЕРЕВСКА ПАЛАНКА 2025 (21.децембар, н",21.12.2025,9,150,SRB,True,Swiss,,2109.9,1.0,https://s1.chess-results.com/tnr1301587.aspx?lan=1
1300160,34. NAPRETKOV BOŽIĆNI TURNIR,21.12.2025,9,57,BIH,True,Swiss,,2131.0,1.0,https://s1.chess-results.com/tnr1300160.aspx?lan=1
1308176,"I MEMORIJALNI ŠAHOVSKI TURNIR ""EJUP MURATOVIĆ""Duga",21.12.2025,9,62,SRB,True,Swiss,,1967.5,0.952,https://s1.chess-results.com/tnr1308176.aspx?lan=1
1296999,"KULA - Rapid turnir ""Memorijal Momcilo Babic"" 21de",21.12.2025,9,48,SRB,True,Swiss,Rapid,1892.5,1.0,https://s1.chess-results.com/tnr1296999.aspx?lan=1
1317970,Kulttuuri-Shakki-58:n jouluturnaus,21.12.2025,7,36,FIN,True,Swiss,,1809.8,1.0,https://s1.chess-results.com/tnr1317970.aspx?lan=1
1277404,Praha - 21. 12. - 3. ročník Populus Open - zimní r,21.12.2025,7,45,OK,True,Swiss,Rapid,1812.7,0.889,https://s1.chess-results.com/tnr1277404.aspx?lan=1
1321301,"Гандикап-турнир ""Встреча поколений""",21.12.2025,9,47,RUS,True,Swiss,,1975.6,1.0,https://s1.chess-results.com/tnr1321301.aspx?lan=1
1090491,Karlstad Open 2024,27.12.2024,8,107,SWE,True,Swiss,,1887.8,0.917,https://s1.chess-results.com/tnr1090491.aspx?lan=1
1022294,Weekend Sahist Bucurestean 61(27-29 decembrie 2024,27.12.2024,7,54,ROU,True,Swiss,,1838.5,0.981,https://s1.chess-results.com/tnr1022294.aspx?lan=1
996752,X. Berecz Memorial Group A,27.12.2024,7,68,HUN,True,Swiss,,2106.6,1.0,https://s1.chess-results.com/tnr996752.aspx?lan=1
996753,X. Berecz Memorial Group B,27.12.2024,7,37,HUN,True,Swiss,,1825.6,1.0,https://s1.chess-results.com/tnr996753.aspx?lan=1
1053362,"ZIMSKI ""FENIKS"" OPEN BRANICEVSKOG OKRUGA 2024",27.12.2024,6,50,SRB,True,Swiss,,1939.5,0.9,https://s1.chess-results.com/tnr1053362.aspx?lan=1
1072606,33. Aschacher Donau Open Gruppe A,26.12.2024,7,79,AUT,True,Swiss,,2037.2,1.0,https://s1.chess-results.com/tnr1072606.aspx?lan=1
1003801,48. Zürcher Weihnachtsopen Meister,26.12.2024,7,42,SUI,True,Swiss,,2121.1,1.0,https://s1.chess-results.com/tnr1003801.aspx?lan=1
873076,BASEL XMAS FESTIVAL 2024 - MASTER(min 2050 Elo),26.12.2024,9,65,SUI,True,Swiss,Schnell,2195.5,1.0,https://s1.chess-results.com/tnr873076.aspx?lan=1
1035587,Memoriál Ing. Olexy 2024,26.12.2024,7,34,CZE,True,Swiss,,1823.0,0.912,https://s1.chess-results.com/tnr1035587.aspx?lan=1
1078111,Torneo IRT Internacional Santiago de Cali ELO Mayo,26.12.2024,8,49,COL,True,Swiss,,1986.3,1.0,https://s1.chess-results.com/tnr1078111.aspx?lan=1
972273,"XIII Festival Internacional LORCA, 26-30 Diciembre",26.12.2024,9,77,ESP,True,Swiss,,2027.4,1.0,https://s1.chess-results.com/tnr972273.aspx?lan=1
1078355,Зимові свята в Авангарді - турнір А (1 розряди та,26.12.2024,9,35,,True,Swiss,,1876.9,1.0,https://s1.chess-results.com/tnr1078355.aspx?lan=1
1030746,Athens of the East 4th International Grand Master,24.12.2024,10,150,IND,True,Swiss,,2126.5,1.0,https://s1.chess-results.com/tnr1030746.aspx?lan=1
1048008,Athens of the East 4th International Open FIDE Rat,24.12.2024,10,149,IND,True,Swiss,,1828.4,1.0,https://s1.chess-results.com/tnr1048008.aspx?lan=1
1012287,"Međunarodni Amaterski OPEN turnir ""Alija Ikić 2024",24.12.2024,7,53,SRB,True,Swiss,,2060.2,0.925,https://s1.chess-results.com/tnr1012287.aspx?lan=1
929420,Chessfestival Groningen 2024 Open A,21.12.2024,9,64,NED,True,Swiss,,2250.2,1.0,https://s1.chess-results.com/tnr929420.aspx?lan=1
929422,Chessfestival Groningen 2024 Open B,21.12.2024,9,40,NED,True,Swiss,,1889.1,1.0,https://s1.chess-results.com/tnr929422.aspx?lan=1
1084967,Airforce Commander Open Section,20.12.2024,8,92,ZAM,True,Swiss,,1935.6,0.884,https://s1.chess-results.com/tnr1084967.aspx?lan=1
1084221,G.Lisitsyn Memorial 2024,20.12.2024,9,66,FM,True,Swiss,,1805.9,1.0,https://s1.chess-results.com/tnr1084221.aspx?lan=1
1060848,Asian Amateur Chess Championships 2024 - Men U2000,16.12.2024,9,41,IND,True,Swiss,,1835.2,1.0,https://s1.chess-results.com/tnr1060848.aspx?lan=1
1083477,"International Tashkent Chess Festival -""MASTERS""",16.12.2024,9,50,UZB,True,Swiss,,2270.2,1.0,https://s1.chess-results.com/tnr1083477.aspx?lan=1
1065682,ODISHA OPEN - Category 'A' (1900 & above)#  (The 1,15.12.2024,10,150,IND,True,Swiss,,2136.9,1.0,https://s1.chess-results.com/tnr1065682.aspx?lan=1
1069751,"XXXIV Torneo Internacional Carlos Torre Repetto ""I",15.12.2024,7,58,MEX,True,Swiss,,1910.9,0.968,https://s1.chess-results.com/tnr1069751.aspx?lan=1
1066445,Championship UKR Men`s 2024,14.12.2024,9,123,UKR,True,Swiss,,1877.6,0.913,https://s1.chess-results.com/tnr1066445.aspx?lan=1
1054456,"Турнир A - Winter Cup 2024 (ТОО ""Альянс МТС"" -  пр",14.12.2024,9,76,KAZ,True,Swiss,,1914.5,1.0,https://s1.chess-results.com/tnr1054456.aspx?lan=1
1066450,Чемпіонат України з шахів (класичні шахи),14.12.2024,9,127,,True,Swiss,,2090.0,1.0,https://s1.chess-results.com/tnr1066450.aspx?lan=1
1066451,Чемпіонат України з шахів (класичні шахи) серед жі,14.12.2024,9,33,,True,Swiss,,2018.1,1.0,https://s1.chess-results.com/tnr1066451.aspx?lan=1
1058057,90o Campeonato Brasileiro Absoluto de Xadrez STD 2,13.12.2024,11,150,RN,True,Swiss,,1861.2,1.0,https://s1.chess-results.com/tnr1058057.aspx?lan=1
1079021,Grand Master 'Ziaur Rahman' Smriti 1st Internation,13.12.2024,6,68,BAN,True,Swiss,,1841.3,0.845,https://s1.chess-results.com/tnr1079021.aspx?lan=1
1067907,III TORNEO IRT FUERZA DEL NORTE 2024,13.12.2024,7,35,CHI,True,Swiss,,1838.3,0.829,https://s1.chess-results.com/tnr1067907.aspx?lan=1
1075628,Prvenstvo Osijeka 2024,13.12.2024,7,36,CRO,True,Swiss,,1894.2,1.0,https://s1.chess-results.com/tnr1075628.aspx?lan=1
1072528,Victory Day International Open Chess Tournament-20,13.12.2024,9,149,BAN,True,Swiss,,1829.8,1.0,https://s1.chess-results.com/tnr1072528.aspx?lan=1
