player_tournament_id,tournament_id,round_number,player_rating,title_encoded,seed_percentile,tournament_avg_rating,tournament_rating_std,n_rounds_total,field_size,rating_gap_to_field_avg,rounds_remaining,current_score,expected_score_so_far,score_delta,avg_opponent_rating_so_far,color_balance,opponent_rating,rating_diff,expected_score_this_game,playing_white,current_rank,gap_to_leader,opponent_current_score,player_result,final_performance_rating,action,action_aggressive,action_solid,action_passive
741,972588,5,2058.0,0,0.9107,1803.3960396039604,191.38469527148305,7,113,254.6039603960396,2,3.5,3.1745,0.3255,1819.25,0,2042.0,16.0,0.523,1,2,-0.5,3.0,draw,2094.0,solid,0,1,0
741,972588,6,2058.0,0,0.9107,1803.3960396039604,191.38469527148305,7,113,254.6039603960396,1,4.0,3.6975,0.3025,1863.8,1,1896.0,162.0,0.7176,0,5,-0.5,4.0,win,2094.0,solid,0,1,0
741,972588,7,2058.0,0,0.9107,1803.3960396039604,191.38469527148305,7,113,254.6039603960396,0,5.0,4.4151,0.5849,1869.1666666666667,0,2337.0,-279.0,0.1671,1,1,0.0,5.0,loss,2094.0,solid,0,1,0
742,972588,1,1999.0,0,0.875,1803.3960396039604,191.38469527148305,7,113,195.6039603960396,6,0.0,0.0,0.0,,0,1722.0,277.0,0.8313,1,1,0.0,0.0,win,1933.0,solid,0,1,0
742,972588,2,1999.0,0,0.875,1803.3960396039604,191.38469527148305,7,113,195.6039603960396,5,1.0,0.8313,0.1687,1722.0,1,1828.0,171.0,0.728,0,1,0.0,1.0,loss,1933.0,passive,0,0,1
742,972588,3,1999.0,0,0.875,1803.3960396039604,191.38469527148305,7,113,195.6039603960396,4,1.0,1.5592,-0.5592,1775.0,0,1783.0,216.0,0.7762,1,35,-1.0,1.0,draw,1933.0,passive,0,0,1
742,972588,4,1999.0,0,0.875,1803.3960396039604,191.38469527148305,7,113,195.6039603960396,3,1.5,2.3354,-0.8354,1777.6666666666667,1,1711.0,288.0,0.84,0,49,-1.5,1.5,win,1933.0,solid,0,1,0
742,972588,5,1999.0,0,0.875,1803.3960396039604,191.38469527148305,7,113,195.6039603960396,2,2.5,3.1753,-0.6753,1761.0,0,1842.0,157.0,0.7117,1,23,-1.5,2.5,win,1933.0,solid,0,1,0
742,972588,6,1999.0,0,0.875,1803.3960396039604,191.38469527148305,7,113,195.6039603960396,1,3.5,3.8871,-0.3871,1777.2,1,1778.0,221.0,0.7811,0,10,-1.0,3.5,draw,1933.0,passive,0,0,1
742,972588,7,1999.0,0,0.875,1803.3960396039604,191.38469527148305,7,113,195.6039603960396,0,4.0,4.6682,-0.6682,1777.3333333333333,0,1761.0,238.0,0.7974,1,13,-1.0,4.0,win,1933.0,solid,0,1,0
743,972588,2,1788.0,0,0.5089,1803.3960396039604,191.38469527148305,7,113,-15.39603960396039,5,1.0,1.0,0.0,0.0,-1,1876.0,-88.0,0.376,1,1,0.0,1.0,win,1800.3,aggressive,1,0,0
743,972588,3,1788.0,0,0.5089,1803.3960396039604,191.38469527148305,7,113,-15.39603960396039,4,2.0,1.376,0.624,938.0,0,2100.0,-312.0,0.1423,0,1,0.0,1.5,loss,1800.3,solid,0,1,0
743,972588,4,1788.0,0,0.5089,1803.3960396039604,191.38469527148305,7,113,-15.39603960396039,3,2.0,1.5183,0.4817,1325.3333333333333,-1,1872.0,-84.0,0.3814,1,18,-1.0,2.0,win,1800.3,aggressive,1,0,0
743,972588,5,1788.0,0,0.5089,1803.3960396039604,191.38469527148305,7,113,-15.39603960396039,2,3.0,1.8997,1.1003,1462.0,0,1896.0,-108.0,0.3494,1,10,-1.0,3.0,loss,1800.3,solid,0,1,0
743,972588,6,1788.0,0,0.5089,1803.3960396039604,191.38469527148305,7,113,-15.39603960396039,1,3.0,2.2491,0.7509,1548.8,1,1871.0,-83.0,0.3828,0,26,-1.5,3.0,win,1800.3,aggressive,1,0,0
743,972588,7,1788.0,0,0.5089,1803.3960396039604,191.38469527148305,7,113,-15.39603960396039,0,4.0,2.6319,1.3681,1602.5,0,1881.0,-93.0,0.3693,1,13,-1.0,3.5,win,1800.3,aggressive,1,0,0
744,972588,1,1939.0,0,0.8214,1803.3960396039604,191.38469527148305,7,113,135.6039603960396,6,0.0,0.0,0.0,,0,1682.0,257.0,0.8145,1,1,0.0,0.0,win,1988.4,solid,0,1,0
744,972588,2,1939.0,0,0.8214,1803.3960396039604,191.38469527148305,7,113,135.6039603960396,5,1.0,0.8145,0.1855,1682.0,1,1825.0,114.0,0.6584,0,1,0.0,1.0,draw,1988.4,passive,0,0,1
744,972588,3,1939.0,0,0.8214,1803.3960396039604,191.38469527148305,7,113,135.6039603960396,4,1.5,1.4729,0.0271,1753.5,0,1843.0,96.0,0.6347,1,22,-0.5,1.5,win,1988.4,aggressive,1,0,0
744,972588,4,1939.0,0,0.8214,1803.3960396039604,191.38469527148305,7,113,135.6039603960396,3,2.5,2.1076,0.3924,1783.3333333333333,1,2087.0,-148.0,0.299,0,7,-0.5,2.5,loss,1988.4,solid,0,1,0
744,972588,5,1939.0,0,0.8214,1803.3960396039604,191.38469527148305,7,113,135.6039603960396,2,2.5,2.4067,0.0933,1859.25,0,1815.0,124.0,0.6712,1,23,-1.5,2.5,win,1988.4,solid,0,1,0
744,972588,6,1939.0,0,0.8214,1803.3960396039604,191.38469527148305,7,113,135.6039603960396,1,3.5,3.0779,0.4221,1850.4,1,1783.0,156.0,0.7105,0,10,-1.0,3.5,draw,1988.4,passive,0,0,1
744,972588,7,1939.0,0,0.8214,1803.3960396039604,191.38469527148305,7,113,135.6039603960396,0,4.0,3.7884,0.2116,1839.1666666666667,0,1778.0,161.0,0.7164,1,13,-1.0,4.0,win,1988.4,solid,0,1,0
745,972588,1,1835.0,0,0.625,1803.3960396039604,191.38469527148305,7,113,31.60396039603961,6,0.0,0.0,0.0,,0,1458.0,377.0,0.8975,1,1,0.0,0.0,win,1717.1,solid,0,1,0
745,972588,2,1835.0,0,0.625,1803.3960396039604,191.38469527148305,7,113,31.60396039603961,5,1.0,0.8975,0.1025,1458.0,1,2042.0,-207.0,0.233,0,1,0.0,1.0,draw,1717.1,solid,0,1,0
745,972588,4,1835.0,0,0.625,1803.3960396039604,191.38469527148305,7,113,31.60396039603961,3,2.0,2.1305,-0.1305,1166.6666666666667,1,1944.0,-109.0,0.3481,0,18,-1.0,2.0,draw,1717.1,solid,0,1,0
745,972588,5,1835.0,0,0.625,1803.3960396039604,191.38469527148305,7,113,31.60396039603961,2,2.5,2.4786,0.0214,1361.0,0,1928.0,-93.0,0.3693,1,23,-1.5,2.5,draw,1717.1,solid,0,1,0
745,972588,6,1835.0,0,0.625,1803.3960396039604,191.38469527148305,7,113,31.60396039603961,1,3.0,2.8478,0.1522,1474.4,1,1646.0,189.0,0.748,0,26,-1.5,3.0,win,1717.1,solid,0,1,0
745,972588,7,1835.0,0,0.625,1803.3960396039604,191.38469527148305,7,113,31.60396039603961,0,4.0,3.5958,0.4042,1503.0,0,1896.0,-61.0,0.4131,1,13,-1.0,4.0,win,1717.1,aggressive,1,0,0
746,972588,2,1825.0,0,0.5893,1803.3960396039604,191.38469527148305,7,113,21.60396039603961,5,1.0,1.0,0.0,0.0,1,1950.0,-125.0,0.3275,0,1,0.0,1.0,loss,1687.4,solid,0,1,0
746,972588,3,1825.0,0,0.5893,1803.3960396039604,191.38469527148305,7,113,21.60396039603961,4,1.0,1.3275,-0.3275,975.0,0,1660.0,165.0,0.7211,1,35,-1.0,1.0,loss,1687.4,passive,0,0,1
